artifact_type,source,exact_artifact_path,size_bytes,sha256_full,restore_note
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad110299,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ad110299/unstaged.patch,14526,31a332d86ae4a260bdcff0f8fba0d262d9b3ed24faacc5d0b1ecef3783b5fa80,git apply --binary unstaged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad885882,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ad885882/unstaged.patch,9902,ff82a6fb81230b68ec568d93f1dda35aa33a17a23f6ce6400a8aff63c7f16948,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad885882,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ad885882/untracked.tgz,1908,168bdec3d2df6f32856d0016f5b9dd11e1a5eced078c2f8981c22a8d40e79306,tar --force-local -xzf untracked.tgz -C <target> (1 entries)
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-adaf74a9,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-adaf74a9/unstaged.patch,1398,2279aea620ce94ac9c834beb5a69cca10fddd445aa04e92c72e056755e90064f,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-adaf74a9,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-adaf74a9/untracked.tgz,4363,fcbedb4ac8e8eda210a129b983545dfe23a96b57acf99282e6991ec57baf867a,tar --force-local -xzf untracked.tgz -C <target> (1 entries)
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae07adf7,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ae07adf7/unstaged.patch,1680,53fd8d032c8964b0ba29645d3138ac4fd0dfddb0493351cad6b6ef09bae5854e,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae07adf7,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ae07adf7/untracked.tgz,5109,8e3b77c6e2dd3f3b7de06a04b50bdd099677a7cbff6eb75091979552571a5008,tar --force-local -xzf untracked.tgz -C <target> (1 entries)
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae3e8eae,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ae3e8eae/unstaged.patch,17029,64f3b2063701d865df967b5a3a1563906f07e6fdeffbabbdccf684b1ee1123dd,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae3e8eae,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ae3e8eae/untracked.tgz,984,e527e8645504f62db096c3b65660a36246107653494b4d3ff9798a89fc8ada30,tar --force-local -xzf untracked.tgz -C <target> (1 entries)
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae5ab16f60b6b49ff,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ae5ab16f60b6b49ff/untracked.tgz,91997,a80f840b5d6603138a405510179af2d3731f0e7d5315fb990ee57b5a9645f8fd,tar --force-local -xzf untracked.tgz -C <target> (3 entries)
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae67dca5,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ae67dca5/unstaged.patch,6137,6949c4f155505aa956270cf30d7c2a5873e0507ec5680715a48b7a2e1669f2fa,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae67dca5,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ae67dca5/untracked.tgz,1512,0d2de67494480d75453f04a1013eb54259f4f69ea21bd76e190642e4adbe67b0,tar --force-local -xzf untracked.tgz -C <target> (1 entries)
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aeaad3f8,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-aeaad3f8/unstaged.patch,136208,62efea1b207948094271c76f6f7ab564479c14b58a902a8df156f8d032ea0953,git apply --binary unstaged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af20cebb7272acc39,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-af20cebb7272acc39/unstaged.patch,13663,f8292ec2b66d20a2b311da4fa8224975de88e0600340841d218e5d10dd286b46,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af20cebb7272acc39,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-af20cebb7272acc39/untracked.tgz,1847,4aaaedb97b368cf0aac66a38db00ef2764bf1bc6a808780c238b923329eea3fb,tar --force-local -xzf untracked.tgz -C <target> (1 entries)
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af35175e,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-af35175e/unstaged.patch,31233,b3d4f38cec061767246ba200d50793e7417dd0a96ddf1a27bc332c584b31a805,git apply --binary unstaged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af748e90,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-af748e90/unstaged.patch,6630,9f06310f3504a22c7265778b072a616db2956fb7fcec0a9dec446427efaf8e41,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af748e90,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-af748e90/untracked.tgz,719,956485467472778e73bde8f46751cdf7535fb57be28c09d8d08f7117dc6e3a4d,tar --force-local -xzf untracked.tgz -C <target> (1 entries)
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+datahub-vision,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/data_datahub-vision/unstaged.patch,10232,8620db519afb75d04291ecdd270230b668d963a9ef21e64f503ff44db812f695,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+faers-discipline,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/data_faers-discipline/untracked.tgz,1292,978fe8827b16c782f8f0cee59485fe0301d19e9228482902e4e9c28c6760d002,tar --force-local -xzf untracked.tgz -C <target> (1 entries)
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+mechanism-granularity,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/data_mechanism-granularity/untracked.tgz,586,89444c7e5f38eb0f344b929ec04b30e77640a5826bea6176296ce5f2e7220ca7,tar --force-local -xzf untracked.tgz -C <target> (1 entries)
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/platform+closed-world-guard,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/platform_closed-world-guard/untracked.tgz,99595,bab12a1fdcca8bcf5a03c75f68884896ea5f077b457b07aa88db1d8665ec37e1,tar --force-local -xzf untracked.tgz -C <target> (10 entries)
worktree-untracked-archive,C:/Users/kapil/Documents/mz-absorb,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/mz-absorb/untracked.tgz,4796,efe94fa06859ba66f3174c8d716612fe0dc40927b87ed555077420c114daa3c9,tar --force-local -xzf untracked.tgz -C <target> (3 entries)
worktree-untracked-archive,C:/Users/kapil/Documents/mz-canonical-repair,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/mz-canonical-repair/untracked.tgz,535,0c03bf802ad351d9ca02a316fb3041548360b822df41910f19bd0f21e9801afc,tar --force-local -xzf untracked.tgz -C <target> (1 entries)
worktree-untracked-archive,C:/Users/kapil/Documents/mz-ground,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/mz-ground/untracked.tgz,92669,e06f3886022b81a3806f2825a31836860c0f6537393783553037ae96bef270cb,tar --force-local -xzf untracked.tgz -C <target> (3 entries)
worktree-untracked-archive,C:/Users/kapil/Documents/mz-plat,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/mz-plat/untracked.tgz,99555,e22a8fc2008baa179e204274d53dc5b08932c5eaa37da10332b0c87b4726b2d3,tar --force-local -xzf untracked.tgz -C <target> (9 entries)
