abs_path,branch,full_head_sha,staged_bytes,unstaged_bytes,untracked_count,merged_to_main,on_origin,open_pr,owner_lane,proposed_disposition,preservation_exact_path
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae3e8eae,worktree-agent-ae3e8eae,3e40dfcb6711bfe8dd065dd922c32d3b8b0b7790,0,17029,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 17029b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ae3e8eae
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae5ab16f60b6b49ff,claude/platform/deterministic-numeric-attribution,1be091fdc5b826e45445fbabb6282f59be856602,0,0,3,yes,yes,-,Product-Platform,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 0b / untracked 3),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ae5ab16f60b6b49ff
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae67dca5,worktree-agent-ae67dca5,4c66dc0e548ffaa700062a6fc4ab0e9b45f2dab0,0,6137,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 6137b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ae67dca5
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aeaad3f8,worktree-agent-aeaad3f8,8c090854d2f6e1e4e68fdb51b09e9d268199ce64,0,136208,0,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 136208b / untracked 0),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-aeaad3f8
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af19a392d64e01d5a,(detached),e86c6f7b072045c5350d5d7f6aaf341096a4477e,0,0,0,no,no,-,Product-Platform,REVIEW — detached HEAD,-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af20cebb7272acc39,claude/learning-c1-c6-prompt-source-accuracy,dfc5c1c0e3dc895ca8770ba7a03b71efeec9d493,0,13663,1,no,no,-,Product-Platform,PRESERVE-then-review — unmerged + dirty (untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-af20cebb7272acc39
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af35175e,worktree-agent-af35175e,495d95671b97c271892f547134419f2d03b8bc1e,0,31233,0,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 31233b / untracked 0),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-af35175e
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af748e90,worktree-agent-af748e90,df3101ab7c7115b25943cb5e25408f2555d26cf3,0,6630,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 6630b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-af748e90
C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+brand-alias-backfill,worktree-data+brand-alias-backfill,87975ea8f0874842757a274d9a57b9744d761475,0,0,0,no,yes,-,Product-Platform,"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+datahub-vision,claude/data/news-event-linkage,d57f8d5fb8d8dc38ac84f86e0953724319c0ae03,0,10232,0,yes,yes,-,Data/Substrate,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 10232b / untracked 0),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/data_datahub-vision
C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+faers-discipline,worktree-data+faers-discipline,cd10e486f241c8f483ea8079abd692b84bcd29e9,0,0,1,no,yes,-,Product-Platform,PRESERVE-then-review — unmerged + dirty (untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/data_faers-discipline
C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+mechanism-granularity,worktree-data+mechanism-granularity,75f88ee59e984714a6b0ad3f3cb62e86c8c6ba25,0,0,1,no,yes,-,Product-Platform,PRESERVE-then-review — unmerged + dirty (untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/data_mechanism-granularity
C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+nadac-pricing-revival,worktree-data+nadac-pricing-revival,9cf00f5773e4307d192e4e5182fa235c164b2801,0,0,0,no,no,-,Product-Platform,"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+source-coverage-freshness,worktree-data+source-coverage-freshness,3bd4428a1ff0c01dda76ae572ccb66e45e4262fa,0,0,0,no,no,-,Product-Platform,"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/data-emitters,claude/data-substrate-emitters,f74ba8301ea1367670029cf6861c534dbca658fa,0,0,0,no,yes,#183,Data/Substrate,KEEP-until-PR — #183,-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/dlq-chembl-replay,claude/data/dlq-chembl-bioactivity-replay,4179d76102f4182bbba0531030cc3d3e1c119160,0,0,0,yes,yes,-,Data/Substrate,"PRUNE-eligible — merged + TRULY clean (0 tracked, 0 untracked)",-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/frontend-ui-honesty,claude/frontend/ui-honesty-loop2,1198acea053d5344c13ae5af0194c0b364084283,0,0,0,no,yes,#321,Product-Platform(FE),KEEP-until-PR — #321,-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/govconv,claude/fact-governance-convergence,22930fb5ee0cde1a67192a418696223695e97a95,0,0,0,no,yes,#185,Data/Substrate,KEEP-until-PR — #185,-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/platform+closed-world-guard,worktree-platform+closed-world-guard,1112453fda9aa987941f0367840a9540e69ff6d7,0,0,10,no,yes,-,Product-Platform,PRESERVE-then-review — unmerged + dirty (untracked 10),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/platform_closed-world-guard
C:/Users/kapil/Documents/market_zero/.claude/worktrees/platform-p1-decimal-fix,worktree-platform-p3-citations,efe56eae11202a954a91fa2c275146e979ba4e56,0,0,0,no,no,-,Product-Platform,"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/wt-grounding,claude/grounded-trial-answers,82c3bb5709c0a08a2f8ae89309357a578d400d9d,0,0,0,no,yes,#186,Product-Platform,KEEP-until-PR — #186,-
C:/Users/kapil/Documents/mz-absorb,claude/data/absorb-excluded-configs,f67b7378987a1cd6faf15cb2b11e934ce974fe39,0,0,3,yes,yes,-,Data/Substrate,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 0b / untracked 3),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/mz-absorb
C:/Users/kapil/Documents/mz-board-triage,claude/platform/redteam-board-consolidation,578f7c04ef883c7b0a253e8984d045345e6b4aea,0,0,0,no,yes,#323,Product-Platform,KEEP-until-PR — #323,-
C:/Users/kapil/Documents/mz-canary-wt,claude/synth/ctx-negation-canary,b3864129141b07dac29139d398f2de8cc4be8832,0,0,0,no,yes,#317,Product-Platform,KEEP-until-PR — #317,-
C:/Users/kapil/Documents/mz-canonical-repair,claude/data/canonical-orphan-repair,46b4a0a033236d2c3df419a9e139acbfd0e2bbaa,0,0,1,no,yes,#222,Data/Substrate,KEEP-until-PR — #222,C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/mz-canonical-repair
C:/Users/kapil/Documents/mz-connect-scroll,claude/frontend/connect-wizard-scroll,9876939c0cbf0a2b505efdb3583348bc3bb8745d,0,0,0,yes,yes,-,Product-Platform(FE),"PRUNE-eligible — merged + TRULY clean (0 tracked, 0 untracked)",-
C:/Users/kapil/Documents/mz-connector-press,claude/data/connector-press-phase1,9a7afd4b336c680bbcd832d4ae7d11b917c50302,0,0,0,yes,yes,-,Data/Substrate,"PRUNE-eligible — merged + TRULY clean (0 tracked, 0 untracked)",-
C:/Users/kapil/Documents/mz-coord2,main,77d1c6bb0e9e2a4bfa0d62c31cc93b8eb02a3c66,0,0,0,yes,yes,-,Product-Platform,"PRUNE-eligible — merged + TRULY clean (0 tracked, 0 untracked)",-
C:/Users/kapil/Documents/mz-curation-v2,claude/data/auto-curate-v2-scheduling,1742a18f402b581f36e8dbaaaae358fdcde85f47,0,0,0,yes,yes,-,Data/Substrate,"PRUNE-eligible — merged + TRULY clean (0 tracked, 0 untracked)",-
C:/Users/kapil/Documents/mz-dataset-defs,claude/data/dataset-definitions-all-sources,5e09afab25d569d741fc4c2244cd996b87041ac0,0,0,0,no,yes,#322,Data/Substrate,KEEP-until-PR — #322,-
C:/Users/kapil/Documents/mz-dlq-loop1,claude/data/dlq-etl-runs-skip-visibility,d7e9c8869407e62cc1e94c5c596311e1a64f0a9e,0,0,0,yes,yes,-,Data/Substrate,"PRUNE-eligible — merged + TRULY clean (0 tracked, 0 untracked)",-
C:/Users/kapil/Documents/mz-eval-comprehensive,claude/data/eval-comprehensive,410e2614ea96c1d92bd8eb81f151f78ecfb9a760,0,0,0,no,yes,#238,Data/Substrate,KEEP-until-PR — #238,-
C:/Users/kapil/Documents/mz-eval3,claude/platform/eval-tier-clarity,fab5f3c54cd3a1f72ca8dc504561f974d1cb45aa,0,0,0,no,yes,-,Product-Platform,"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/mz-fair-honest,claude/data/fair-product-honest-reachable,b1c876d31dd706186054a13ccf0b3c0919a64663,0,0,0,no,yes,#320,Data/Substrate,KEEP-until-PR — #320,-
C:/Users/kapil/Documents/mz-fe,claude/frontend/chat-coverage-limits,25dbc5f0e0d5360b63bec056814fd133852bfaa6,0,0,0,no,yes,-,Product-Platform(FE),"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/mz-ground,claude/frontend/datahub-honesty,bf744d2819a30ab0fbb1e7f78c46ee511f5d7c79,0,0,3,yes,yes,-,Product-Platform(FE),PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 0b / untracked 3),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/mz-ground
C:/Users/kapil/Documents/mz-handoff-baseline,claude/handoff/h0-baseline,0b294e9b2c8bf9b1ce7db40b0bd88df32e0ccdf9,0,0,0,yes,no,-,handoff/primary,PROTECT — canonical baseline worktree; keep,n/a
C:/Users/kapil/Documents/mz-ledger-monitor,claude/data/lane2-ledger-freshness-monitor,644748412b70aee1d03f63c8a47ba148ef9198ed,0,0,0,no,yes,#319,Data/Substrate,KEEP-until-PR — #319,-
C:/Users/kapil/Documents/mz-migration-gate,claude/data/migration-integrity-gate,cbeab0572006f7bbc16a6ffc25f160dbbc94fbff,0,0,0,yes,yes,-,Data/Substrate,"PRUNE-eligible — merged + TRULY clean (0 tracked, 0 untracked)",-
C:/Users/kapil/Documents/mz-phase2-wt,claude/synth/gipr-phase2-evidence-grading,77625868b6e4348a46889ac8d6865ea637949ece,0,0,0,no,no,-,Product-Platform,"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/mz-plat,claude/platform/g1-prose-attribution,63cd75232c3f8d4df20c98bbd159a09b959565c7,0,0,9,no,yes,-,Product-Platform,PRESERVE-then-review — unmerged + dirty (untracked 9),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/mz-plat
C:/Users/kapil/Documents/mz-platform,claude/platform/t8-coord-ask,83138a0f89b60933a6535a5671b02515871578a8,0,0,0,yes,yes,-,Product-Platform,"PRUNE-eligible — merged + TRULY clean (0 tracked, 0 untracked)",-
C:/Users/kapil/Documents/mz-priv001,claude/platform/priv-001-pii-egress-gateway,a66dbcba7337d9e28eef190823b90bb038a3856f,0,0,0,no,yes,#326,Product-Platform,PROTECT — task-owned (H1); EXCLUDE from cleanup,-
C:/Users/kapil/Documents/mz-qual-honest,claude/data/qual-source-quality-provenance,d215bea683657af4607eec2663fc79a89db837ef,0,0,0,no,yes,#324,Data/Substrate,KEEP-until-PR — #324,-
C:/Users/kapil/Documents/mz-sec001a,claude/platform/sec-001a-debug-zs-containment,4f23cb25ee0a528795d72110f01199559be68f85,0,0,0,no,yes,#325,Product-Platform,PROTECT — task-owned (H1); EXCLUDE from cleanup,-
C:/Users/kapil/Documents/mz-sec001b,claude/platform/sec-001b-route-auth,1e9985d1cd4164f0a6a7396b6893a2ebfc8b6793,0,0,0,no,yes,-,Product-Platform,"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/mz-sync,claude/data/coord-sync-protocol,d7660fd653099bb4cf63dd71a86a22ddbf48daf8,0,0,0,no,yes,#236,Data/Substrate,KEEP-until-PR — #236,-
