branch,full_sha,last_commit_date,merged_to_main,ahead_of_main,on_origin,has_worktree,open_pr,owner_lane,proposed_disposition,preservation
claude-fe/loop-21-agent-activity,0bc16b502e33f19ae94893b3600a03f9d9c49895,2026-05-12,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/adopt-ux-personas-loop-plan,57200f80df44c64034060afa99fd7a4bc59658ad,2026-06-01,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/agentic-ux-design-and-seed,5c043301da2ec4abccd1ac9f4a8ece8646b08e44,2026-06-01,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/backend-unit-smoke-gate,71ca8a3d16eb83babd600240518d99004f98ccdf,2026-06-08,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/be-001-evidence-card-fields,9f8e5ff65033af6333dfe58c99d2163384c23f6e,2026-05-10,no,1,yes,-,#41,unknown,KEEP — open PR #41 (tip on origin),origin (pushed)
claude/be-002-materiality-diagnostic,0b923adb8f66d0bd7b4d39397f3013c664e2bc36,2026-05-10,no,4,yes,-,#37,unknown,KEEP — open PR #37 (tip on origin),origin (pushed)
claude/be-004-agents-stream,3601ef93bc86949ec4f8b81c94c085b641584c57,2026-05-10,no,1,yes,-,-,unknown,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/be-005-agent-nudge,707f2b59df56e2a483ee03dc5900a391f5851db9,2026-05-10,no,1,yes,-,-,unknown,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/be-009-adversary-twin,a4774c52e5eae3d65a64d5352b3167c9dd594030,2026-05-10,no,1,yes,-,#60,unknown,KEEP — open PR #60 (tip on origin),origin (pushed)
claude/be-010-adversary-posterior,8f32ab0ccfb8b233cdae8856819c92cac8a7979b,2026-05-10,no,2,yes,-,#61,unknown,KEEP — open PR #61 (tip on origin),origin (pushed)
claude/be-011-cockpit-stream,c0bf67919d8bd3a1488c58180fe986464e665669,2026-05-10,no,1,yes,-,#62,unknown,KEEP — open PR #62 (tip on origin),origin (pushed)
claude/be-012-agent-authority,ca3895ead70d63c3a7518ab958d98976ed8e530a,2026-05-10,no,1,yes,-,#63,unknown,KEEP — open PR #63 (tip on origin),origin (pushed)
claude/be-013-authority-endpoints,be4041cc6daba75eb5de7ed84844cc81961954ba,2026-05-10,no,2,yes,-,#64,unknown,KEEP — open PR #64 (tip on origin),origin (pushed)
claude/be-014-delegation-executor,3e86a22c9d04a1ca8fe4e10934c429a243018323,2026-05-10,no,1,yes,-,#65,unknown,KEEP — open PR #65 (tip on origin),origin (pushed)
claude/be-016-citation-tier,5b40c16a81f92995b2ebd86f1102d8dbfdf589a7,2026-05-10,no,2,yes,-,#43,unknown,KEEP — open PR #43 (tip on origin),origin (pushed)
claude/be-018-source-aggregation,b3516ef85d34212f27c4a2f5a101eb5b277e931d,2026-05-10,no,2,yes,-,#45,unknown,KEEP — open PR #45 (tip on origin),origin (pushed)
claude/be-019-why-this,e536586d2d4201dc83dd49b770f701a505b8e6db,2026-05-10,no,1,yes,-,#47,unknown,KEEP — open PR #47 (tip on origin),origin (pushed)
claude/be-021-saved-views,1bf6c93ad36d15de007b6fcdceaa9c7586ad4d25,2026-05-10,no,1,yes,-,#49,unknown,KEEP — open PR #49 (tip on origin),origin (pushed)
claude/be-025-licence-model,5953679197686189b3c548bc29efaf69694f8f83,2026-05-10,no,1,yes,-,#56,unknown,KEEP — open PR #56 (tip on origin),origin (pushed)
claude/be-027-034-phase1-connectors,64bf4270eee1e67df759fe13158634abd090c983,2026-05-10,no,1,yes,-,#66,unknown,KEEP — open PR #66 (tip on origin),origin (pushed)
claude/be-035-curator-weight-learning,6ed983fc371d4afd003cf84c8757b737a3f79014,2026-05-10,no,1,yes,-,#67,unknown,KEEP — open PR #67 (tip on origin),origin (pushed)
claude/be-036-source-health,d64b2b3c2b1f9b27b1c70a4b0ab1144bc4b2ea09,2026-05-10,no,1,yes,-,#68,unknown,KEEP — open PR #68 (tip on origin),origin (pushed)
claude/be-037-tenant-id-core,c7f39f32c24753e753413f3fe62fcbfcf0891605,2026-05-10,no,1,yes,-,#38,unknown,KEEP — open PR #38 (tip on origin),origin (pushed)
claude/be-038-tenant-isolation-middleware,618f53f72b527b6c4a246ee03aa4e221e81f3dee,2026-05-10,no,2,yes,-,#39,unknown,KEEP — open PR #39 (tip on origin),origin (pushed)
claude/be-039-tenant-audit-tests,68d646932408868ebb49a319b1fb0e924f168444,2026-05-10,no,3,yes,-,#40,unknown,KEEP — open PR #40 (tip on origin),origin (pushed)
claude/be-040-system-prompts-registry,db4d0337486bc3d426d5fbdddff8c9d61a2df0eb,2026-05-10,no,1,yes,-,#69,unknown,KEEP — open PR #69 (tip on origin),origin (pushed)
claude/be-041-prompt-calibration,04085404fb4d51000be33ec41a94e252f63103b8,2026-05-10,no,1,yes,-,#70,unknown,KEEP — open PR #70 (tip on origin),origin (pushed)
claude/chore/ctxpack-session-memory-hooks,38889b54354f457de1d7f37a371c61507ffa5ebe,2026-07-04,no,1,yes,-,#318,Product-Platform,KEEP — open PR #318 (tip on origin),origin (pushed)
claude/clear-ts-debt,09b13edc0846da5731af94d609ca87ebadf63fe7,2026-06-08,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/cockpit-content-width,949bc5e9d0e762bb3383deb080981192a8e733f6,2026-06-04,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/connector-status-emission,c30e59be0a199bfe8507027f834edb0908cf68f4,2026-06-08,yes,0,yes,-,-,unknown,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/coordination-and-archive,7c4bdbef4a23c8e8aaa639948a78badeca557560,2026-06-08,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data-connectors-and-linkage,2915a3354a53cfe1d0b7b13d14c1b30d3c9bc08b,2026-06-05,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data-d2-d6-provenance,46509d7a73858bad2436731651f1954470aac956,2026-06-05,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data-layer-remediation,150ae6f8b4384db678b81eeb737a290a63075d4d,2026-06-05,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data-substrate-emitters,f74ba8301ea1367670029cf6861c534dbca658fa,2026-06-08,no,3,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/data-emitters,#183,Data/Substrate,KEEP — open PR #183 (tip on origin),origin (pushed)
claude/data-z3-engagement-entity,70781cd7edd0ba9c5cb91e70a6268dadcc4967bc,2026-05-30,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data-z4-business-context-brief,50003a91c3481cc2b2169e12b2a286d74f3effb7,2026-05-30,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/a1-rest-connector,70b79b69156754fe2b655c7f6cfaa66d29f33a2a,2026-06-14,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/absorb-excluded-configs,f67b7378987a1cd6faf15cb2b11e934ce974fe39,2026-06-12,yes,0,yes,C:/Users/kapil/Documents/mz-absorb,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/adopt-coordination,ced2a480dc04d621d4541e6a869efb41fcbe3a10,2026-06-08,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/auto-curate-v2-scheduling,1742a18f402b581f36e8dbaaaae358fdcde85f47,2026-06-28,yes,0,yes,C:/Users/kapil/Documents/mz-curation-v2,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/bioactivity-molecule-chembl-id,e513fb443093470855f30680b7cc045db3826846,2026-06-24,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/brand-alias-backfill,87975ea8f0874842757a274d9a57b9744d761475,2026-06-13,no,3,yes,-,#242,Data/Substrate,KEEP — open PR #242 (tip on origin),origin (pushed)
claude/data/c1-orphan-floor,4e926db36cf888f1b7016e5fae84875af361939f,2026-06-15,no,1,no,-,-,Data/Substrate,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 1 unique commit(s) not on any remote",git bundle REQUIRED
claude/data/canonical-orphan-repair,46b4a0a033236d2c3df419a9e139acbfd0e2bbaa,2026-06-12,no,1,yes,C:/Users/kapil/Documents/mz-canonical-repair,#222,Data/Substrate,KEEP — open PR #222 (tip on origin),origin (pushed)
claude/data/connector-press-phase1,9a7afd4b336c680bbcd832d4ae7d11b917c50302,2026-06-29,yes,0,yes,C:/Users/kapil/Documents/mz-connector-press,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/coord-helix-loops,a3fc150af242f320fc90835c4402aa88f82e423c,2026-06-12,no,1,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/data/coord-sync-protocol,d7660fd653099bb4cf63dd71a86a22ddbf48daf8,2026-06-13,no,7,yes,C:/Users/kapil/Documents/mz-sync,#236,Data/Substrate,KEEP — open PR #236 (tip on origin),origin (pushed)
claude/data/d3-bioactivity-linkage,ed378e38ca4c4de8e6ca61581bf047a8abd7f381,2026-06-12,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/dapi1-board-update,4e1e3225e76b1c3f952a94489a604bd9b415fb8d,2026-06-13,no,1,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/data/datahub-d-api-1,66d17663918a6b0e24dd5a087b962e79ba51893b,2026-06-13,no,3,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/data/datahub-l2-taxonomy,0c48c73492ef8204103d4faf099e7d45774a0f04,2026-06-13,no,2,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/data/datahub-l3-csv-connector,05cf476f0bd158f7f9d68359c15414743ac12873,2026-06-13,no,2,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/data/datahub-l4-connectors,2382b9b3ef82dddef332622180a27a8689629e89,2026-06-13,no,3,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/data/dataset-definitions-all-sources,5e09afab25d569d741fc4c2244cd996b87041ac0,2026-07-07,no,1,yes,C:/Users/kapil/Documents/mz-dataset-defs,#322,Data/Substrate,KEEP — open PR #322 (tip on origin),origin (pushed)
claude/data/dlq-chembl-bioactivity-replay,4179d76102f4182bbba0531030cc3d3e1c119160,2026-06-30,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/dlq-chembl-replay,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/dlq-etl-runs-skip-visibility,d7e9c8869407e62cc1e94c5c596311e1a64f0a9e,2026-06-28,yes,0,yes,C:/Users/kapil/Documents/mz-dlq-loop1,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/dlq-ontology-skip-nameless,7dbc7a73e28a352ef6185a4f013050821f76636a,2026-06-24,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/domain-intelligence-plan,53a520f56223792698c6cc34bc76d9023cfa12f3,2026-06-09,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/dq1-factclass-reference,92db8503b2641da082cb231526549225ce409992,2026-06-15,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/eval-comprehensive,410e2614ea96c1d92bd8eb81f151f78ecfb9a760,2026-06-13,no,3,yes,C:/Users/kapil/Documents/mz-eval-comprehensive,#238,Data/Substrate,KEEP — open PR #238 (tip on origin),origin (pushed)
claude/data/expire-089-pending-restore,b63571871b5e909154f3be1e576caf7190457893,2026-06-29,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/fair-product-honest-reachable,b1c876d31dd706186054a13ccf0b3c0919a64663,2026-07-05,no,1,yes,C:/Users/kapil/Documents/mz-fair-honest,#320,Data/Substrate,KEEP — open PR #320 (tip on origin),origin (pushed)
claude/data/l4a-board,206b5f245d71e401964cfcc05014a22af70d13ac,2026-06-13,no,1,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/data/lane2-ledger-freshness-monitor,644748412b70aee1d03f63c8a47ba148ef9198ed,2026-07-11,no,2,yes,C:/Users/kapil/Documents/mz-ledger-monitor,#319,Data/Substrate,KEEP — open PR #319 (tip on origin),origin (pushed)
claude/data/ledger-convergence-scheduling,6f30f556fb8bb75696850648f8490b5f441cc7f5,2026-06-28,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/loop0-pipeline-nameerror,c4a88be6d5e168c33d7ae2d70a9f41d37fa45ce7,2026-06-14,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/migration-integrity-gate,cbeab0572006f7bbc16a6ffc25f160dbbc94fbff,2026-06-28,yes,0,yes,C:/Users/kapil/Documents/mz-migration-gate,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/nadac-pricing-revival,9cf00f5773e4307d192e4e5182fa235c164b2801,2026-06-13,no,2,no,-,-,Data/Substrate,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 2 unique commit(s) not on any remote",git bundle REQUIRED
claude/data/news-event-linkage,d57f8d5fb8d8dc38ac84f86e0953724319c0ae03,2026-06-16,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+datahub-vision,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/ontology-crosswalk,0d922c40a41a784913f9a5248a49ad35ce2e0cbd,2026-06-09,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/ontology-crosswalk-load,ab2707f31a97932936da60df7924421f4f0dfb76,2026-06-09,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/open-targets-disease-recovery,127bededf9f7c19c8d7cc9c9416d577fce4c505d,2026-06-24,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/pharma-source-contracts,ab0b02d934cf93fb27dc2f0dbd96a6074eb18ecd,2026-06-12,no,1,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/data/pricing-fact-emitter,19e66f32780961bf73adaac419afae04cbdc473c,2026-06-15,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/qual-source-quality-provenance,d215bea683657af4607eec2663fc79a89db837ef,2026-07-12,no,1,yes,C:/Users/kapil/Documents/mz-qual-honest,#324,Data/Substrate,KEEP — open PR #324 (tip on origin),origin (pushed)
claude/data/resolution-stability,3c525882965576ec15bc8b774a9ba2a7784f53f6,2026-06-13,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/resolve-at-ingest,c7eaad64a8d544fc5d4da84785ca196caf2b4eca,2026-06-09,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/scenario-calibration-history,1db952f2e9d34b7084471420ce28d616e2089ba2,2026-06-12,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/scenario-contradiction,534aa2f593d0257afbd781212dd18e3b449b8709,2026-06-12,no,3,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/data/scenario-prob-history,34ed00e07a19258f076257224bc5f466319b344f,2026-06-12,no,2,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/data/semantic-resolution,45e6bf0381e6aa3495b8d5b1c7306beb6cb476be,2026-06-09,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/sensing-promotion-cron,e4e7e81926bed9ec4e5ad87328989d21d3cb9e1f,2026-06-15,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/signal-entity-resolution,2cb1074773509246f1145a9bd731e3cb448d46f4,2026-06-15,yes,0,yes,-,-,Data/Substrate,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/data/signal-scenario-stance,8a514f6c4e3f683b052b0045275b5c338885e7b8,2026-06-12,no,1,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/datahub/f1-finish,e652e6140f00f0d33c977adb364eb078384c583a,2026-06-13,no,3,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/datahub/f5-connect-wizard,32d54b4b6261c41ed1fdd36f4e57e4fc7cfbf038,2026-06-13,no,1,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/datahub/phase0-lenses,960de837fea734346861f3d466fb7454df4b7efa,2026-06-13,no,2,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/design-d3-page-component-audit,de57baa78cdbd01af8d8515c9c7ddb1558011211,2026-05-31,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/df5-more-round-types,5a7e6c8f8a76d0f6edeb614608ca514856e38e04,2026-06-06,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/docs-frontend-clarifications,aa8397a3fcfea613113bbbe7575c5e64000a5eaf,2026-05-09,no,1,yes,-,-,Product-Platform(FE),"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/dr-loops-fact-emitters,1a3c155576101e40b440265aac55691b3db1ca38,2026-06-04,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/e05-fact-provenance,91cc4e5c5f348bf00d987124ade5a65015ac09a0,2026-06-01,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/entity-resolver-dossier,b7ab60f2ed74340d16402a113322791445b2d054,2026-06-08,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/eval-harness,0188bd0ddc00bbcfcad3df7ae8e8385833da20d2,2026-06-06,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/fact-governance-convergence,22930fb5ee0cde1a67192a418696223695e97a95,2026-06-08,no,7,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/govconv,#185,Data/Substrate,KEEP — open PR #185 (tip on origin),origin (pushed)
claude/fix-benchmark-gate,4da029db286e1cd94ebdf112c0911fd49177b40f,2026-06-08,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/frontend-consistency-guards,542dfb29f0403997a72ef9b184f1ccb720153166,2026-06-04,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/frontend/catalog-dossier-fix,f0a51e5d93859381074879ced58351a1a3a949f0,2026-06-15,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/frontend/chat-coverage-limits,25dbc5f0e0d5360b63bec056814fd133852bfaa6,2026-06-14,no,1,yes,C:/Users/kapil/Documents/mz-fe,-,Product-Platform(FE),"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/frontend/connect-wizard-scroll,9876939c0cbf0a2b505efdb3583348bc3bb8745d,2026-06-28,yes,0,yes,C:/Users/kapil/Documents/mz-connect-scroll,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/frontend/datahub-fair-honesty,4fb5ae60198afb87f53f0d0177eb9c531ab2da5e,2026-06-13,no,1,yes,-,-,Product-Platform(FE),"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/frontend/datahub-honesty,bf744d2819a30ab0fbb1e7f78c46ee511f5d7c79,2026-06-15,yes,0,yes,C:/Users/kapil/Documents/mz-ground,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/frontend/f5-livewire,748189ecdb21dda7692fd769da8d002e0473de67,2026-06-14,no,1,yes,-,-,Product-Platform(FE),"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/frontend/graph-explorer-simpler,3635779d8a724910834fb872fc2bd33e1351be54,2026-06-15,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/frontend/graph-polish,2fd1333863c6fdf7008e2eeceab68654be6f6da7,2026-06-15,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/frontend/ui-honesty-crash-guard,6154145d8f6f6ef946249c92c9346f81fb3c2dcb,2026-07-01,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/frontend/ui-honesty-loop2,1198acea053d5344c13ae5af0194c0b364084283,2026-07-07,no,9,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/frontend-ui-honesty,#321,Product-Platform(FE),KEEP — open PR #321 (tip on origin),origin (pushed)
claude/grounded-trial-answers,82c3bb5709c0a08a2f8ae89309357a578d400d9d,2026-06-08,no,3,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/wt-grounding,#186,Product-Platform,KEEP — open PR #186 (tip on origin),origin (pushed)
claude/h07-competitive-set-quality,d5aba23f38c2027c5cf8dc5146d4d46f7356bcef,2026-06-01,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/h07-junk-competitor-filter,7f814c7d7dcf78bf4e4be19f1384031fec71de88,2026-06-01,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/handoff/h0-baseline,31d923a712bdcd7611b885f438c858747960b0c2,2026-07-04,yes,0,yes,C:/Users/kapil/Documents/mz-handoff-baseline,-,Product-Platform,PROTECT — task-owned (handoff/H1); EXCLUDE from cleanup,tracked/on-branch
claude/handoff/h0-repository-transfer,2fc545d5281a4309918aa247e86e2fec0816414e,2026-08-13,no,3,no,C:/Users/kapil/Documents/market_zero,-,Product-Platform,PROTECT — task-owned (handoff/H1); EXCLUDE from cleanup,tracked/on-branch
claude/harness-conservation-gates,30cfbda53ea54eadcb12d0aebfd29ea7f4283174,2026-06-08,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/helix-v8-benchmark-dossier-readiness,a9fb072b3ba6da298245f7d30fe022534f87a702,2026-06-01,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/landing-microsite,3bf0e3d9d40b28cc3c39804fd6639c5d87444168,2026-06-04,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
